file,time_s,shelf_count,product_count,errors
suggested-4SLASkEvWCNDPoJ0MPmo_jpg.rf.x5r40tLt9J6rLS0a4X82.jpg,7.36,4,3,
30_jpg.rf.txsQ6GCHmmzV9V2t31e9.jpg,8.95,16,16,
72_jpg.rf.dEhkzH96pRfZDcUNp5r4.jpg,7.03,29,29,
suggested-q2CfdEplIsCB2T84rAlH_jpg.rf.HTS5RASVahLh8FukrHrF.jpg,11.84,16,2,
31_jpg.rf.AMqYINOIpcM8WC5O09KW.jpg,8.57,25,25,
12_jpg.rf.HsXVGKNAGPLQGpgsUvJA.jpg,12.62,20,20,
25_jpg.rf.9GaqHp6HzdxppEHQYAfr.jpg,15.29,15,15,
3_jpg.rf.jfgYoQvB5zHyl5GDooCx.jpg,5.43,10,10,
38_jpg.rf.Ib9H7lBCoW12IRHdettv.jpg,10.74,14,14,
30_jpg.rf.WuvB9EyAjePye7nCB0Nn.jpg,5.71,11,11,
80_jpg.rf.5A4aRENFTIQtqsPs0vGC.jpg,10.51,13,13,
26_jpg.rf.MLhffhMfHBHCmEioi9Fh.jpg,16.78,2,2,
38_jpg.rf.4OwWLPUpOTYaRebmaqFO.jpg,14.97,2,2,
29_jpg.rf.iL7dkLCXHDVrsZqaBSx1.jpg,23.02,6,6,
45_jpg.rf.HljTi6Jq5wousARHMVeS.jpg,8.15,9,9,
21_jpg.rf.JzsyJiUp7uAu8e33u2ky.jpg,21.02,14,14,
9_jpg.rf.tTQ7MOTbPZflo4T9OhLx.jpg,12.73,11,11,
15_jpg.rf.iMrfBSjqoiqeMYgRAXLr.jpg,21.1,13,13,
26_jpg.rf.alJRQCM4ODSVEoEQEyfz.jpg,14.82,9,9,
57_jpg.rf.8ZEeRmbakgBnSsbcN2XU.jpg,10.09,9,9,
13_jpg.rf.TyXGMKXIUHATxK7Jw2PW.jpg,8.39,8,8,
50_jpg.rf.Oc5HSS7NNEoRDNu05Ayh.jpg,13.47,12,12,
train_43_jpg.rf.4k3y3bMq85Lhs2QMk2KG.jpg,27.96,9,0,
40_jpg.rf.WtqDX4ZE1U9yVKMfVY13.jpg,6.73,11,11,
19_jpg.rf.7iBrqrkKGaEosZv8Biu2.jpg,7.03,4,4,
76_jpg.rf.wQDO7FLLzDDk2xS5CSfm.jpg,13.44,5,5,
51_jpg.rf.UM5NkkQ2Ne9xAywsib82.jpg,13.54,10,10,
13_jpg.rf.kIRrwEfgxjTADdZflrcH.jpg,12.01,5,5,
28_jpg.rf.fAYrKJctwX4FuWVY2ysA.jpg,12.11,14,14,
train_19_jpg.rf.IXVqCl6MEuBAaNNya1nD.jpg,20.34,1,0,
25_jpg.rf.kjlwkLmZPrJU9JvRy8Du.jpg,18.57,25,25,
13_jpg.rf.9kBUEfBTtNCRHCH0bhNq.jpg,8.61,7,5,
21_jpg.rf.8IsHeox6iQNTF2usV0Q8.jpg,7.53,22,22,
63_jpg.rf.C1znQvu4dXWIC11Yghne.jpg,10.69,10,10,
20_jpg.rf.anUOjdqZ5HHBfgLnNc2b.jpg,7.04,10,10,
42_jpg.rf.KM2u4oEsa5sz47xyTWAp.jpg,10.74,19,19,
28_jpg.rf.9k0UdjUClReHojwHHcZb.jpg,15.82,29,29,
64_jpg.rf.UrtCbfUzlSPhUXdqXxTk.jpg,10.7,13,13,
9_jpg.rf.Sj3Tp8FG4D8sbM4iKLLU.jpg,6.1,8,8,
23_jpg.rf.7PmPfIhKTebMjt7dBeCc.jpg,11.83,10,10,
21_jpg.rf.uiVDDrbtcuXCBYpwFTU2.jpg,28.72,8,8,
45_jpg.rf.U8OBaEOv7L1zr0bBYc8p.jpg,30.84,8,8,
53_jpg.rf.H4XMobLKYKZOLHD1WPSN.jpg,10.85,11,11,
11_jpg.rf.NGSTsqwjQOtD7CCuX0W1.jpg,7.06,13,13,
11_jpg.rf.CHhhKy2RHSZJzfgV5q73.jpg,8.49,22,22,
suggested-Iovcj6w0iPiRG2tMVok9_jpg.rf.qkXQr4qfI2qTegBwk0dh.jpg,9.14,19,0,
35_jpg.rf.LUleXwtBBMT54cslQCkx.jpg,23.63,22,22,
32_jpg.rf.WZLZk8KWOGIIIf0x4uDh.jpg,7.67,9,9,
2_jpg.rf.sfakNQqxoa5ljgj2xUnG.jpg,40.56,5,5,
train_26_jpg.rf.N0oIk6lIKeAEL5poMP1S.jpg,29.78,9,1,
